model,method,prompt_name,file_name,sample_count,time
gpt-oss,segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,2138.94
gpt-oss,segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,2561.92
gpt-oss,segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,329.84
gpt-oss,segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,304.16
gpt-oss,segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,816.01
gpt-oss,segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,782.64
gpt-oss,segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,697.26
gpt-oss,segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,564.25
gpt-oss,segment_to_segment,Prompt 3,ohchr_1_en_ru.json,109,1061.06
gpt-oss,segment_to_segment,Prompt 3,ohchr_1_ru_en.json,110,898.61
gpt-oss,segment_to_segment,Prompt 3,ohchr_2_en_fr.json,137,1132.75
gpt-oss,segment_to_segment,Prompt 3,ohchr_2_fr_en.json,137,961.47
gpt-oss,segment_to_segment,Prompt 3,plan_1_en_es.json,31,170.64
gpt-oss,segment_to_segment,Prompt 3,plan_1_es_en.json,31,132.7
gpt-oss,segment_to_segment,Prompt 3,plan_2_en_fr.json,55,360.89
gpt-oss,segment_to_segment,Prompt 3,plan_2_fr_en.json,55,331.06
gpt-oss,previous_after_segments,Prompt 4,cejil_1_es_pt.json,225,2493.01
gpt-oss,previous_after_segments,Prompt 4,cejil_1_pt_es.json,225,2425.51
gpt-oss,previous_after_segments,Prompt 4,cejil_2_es_pt.json,44,275.45
gpt-oss,previous_after_segments,Prompt 4,cejil_2_pt_es.json,44,248.2
gpt-oss,previous_after_segments,Prompt 4,ihrda_1_en_pt.json,139,703.55
gpt-oss,previous_after_segments,Prompt 4,ihrda_1_pt_en.json,139,759.45
gpt-oss,previous_after_segments,Prompt 4,ihrda_2_en_fr.json,105,575.25
gpt-oss,previous_after_segments,Prompt 4,ihrda_2_fr_en.json,105,458.28
gpt-oss,previous_after_segments,Prompt 4,ohchr_1_en_ru.json,109,1132.74
gpt-oss,previous_after_segments,Prompt 4,ohchr_1_ru_en.json,110,892.91
gpt-oss,previous_after_segments,Prompt 4,ohchr_2_en_fr.json,137,1206.69
gpt-oss,previous_after_segments,Prompt 4,ohchr_2_fr_en.json,137,969.13
gpt-oss,previous_after_segments,Prompt 4,plan_1_en_es.json,31,207.79
gpt-oss,previous_after_segments,Prompt 4,plan_1_es_en.json,31,167.11
gpt-oss,previous_after_segments,Prompt 4,plan_2_en_fr.json,55,442.29
gpt-oss,previous_after_segments,Prompt 4,plan_2_fr_en.json,55,363.27
gpt-oss,page_to_page,Prompt 3,cejil_1_es_pt.json,42,1657.63
gpt-oss,page_to_page,Prompt 3,cejil_1_pt_es.json,41,1605.51
gpt-oss,page_to_page,Prompt 3,cejil_2_es_pt.json,6,152.93
gpt-oss,page_to_page,Prompt 3,cejil_2_pt_es.json,6,162.6
gpt-oss,page_to_page,Prompt 3,ihrda_1_en_pt.json,22,329.04
gpt-oss,page_to_page,Prompt 3,ihrda_1_pt_en.json,23,389.4
gpt-oss,page_to_page,Prompt 3,ihrda_2_en_fr.json,17,326.8
gpt-oss,page_to_page,Prompt 3,ihrda_2_fr_en.json,17,250.9
gpt-oss,page_to_page,Prompt 3,ohchr_1_en_ru.json,12,1134.92
gpt-oss,page_to_page,Prompt 3,ohchr_1_ru_en.json,15,448.18
gpt-oss,page_to_page,Prompt 3,ohchr_2_en_fr.json,22,605.0
gpt-oss,page_to_page,Prompt 3,ohchr_2_fr_en.json,22,526.46
gpt-oss,page_to_page,Prompt 3,plan_1_en_es.json,3,88.31
gpt-oss,page_to_page,Prompt 3,plan_1_es_en.json,3,107.54
gpt-oss,page_to_page,Prompt 3,plan_2_en_fr.json,7,212.7
gpt-oss,page_to_page,Prompt 3,plan_2_fr_en.json,7,223.51
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,14006.59
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,14550.76
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,1143.89
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,1191.32
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,3221.74
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,2893.66
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,2356.27
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,1911.71
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_1_en_ru.json,109,4564.24
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_1_ru_en.json,110,4364.61
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_2_en_fr.json,137,6861.6
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_2_fr_en.json,137,5649.11
aya:35b[gcloud],segment_to_segment,Prompt 3,plan_1_en_es.json,31,882.56
aya:35b[gcloud],segment_to_segment,Prompt 3,plan_1_es_en.json,31,738.43
aya:35b[gcloud],segment_to_segment,Prompt 3,plan_2_en_fr.json,55,1779.53
aya:35b[gcloud],segment_to_segment,Prompt 3,plan_2_fr_en.json,55,1413.3
gpt-oss[gcloud],segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,3414.36
gpt-oss[gcloud],segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,3448.54
gpt-oss[gcloud],segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,423.67
gpt-oss[gcloud],segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,363.9
gpt-oss[gcloud],segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,1151.29
gpt-oss[gcloud],segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,1097.69
gpt-oss[gcloud],segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,896.19
gpt-oss[gcloud],segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,815.3
gpt-oss,segment_to_segment_with_titles,Prompt 5,cejil_1_es_pt.json,225,2376.72
gpt-oss,segment_to_segment_with_titles,Prompt 5,cejil_1_pt_es.json,225,2381.12
gpt-oss,segment_to_segment_with_titles,Prompt 5,cejil_2_es_pt.json,44,284.99
gpt-oss,segment_to_segment_with_titles,Prompt 5,cejil_2_pt_es.json,44,261.63
gpt-oss,segment_to_segment_with_titles,Prompt 5,ihrda_1_en_pt.json,139,758.14
gpt-oss,segment_to_segment_with_titles,Prompt 5,ihrda_1_pt_en.json,139,717.75
gpt-oss,segment_to_segment_with_titles,Prompt 5,ihrda_2_en_fr.json,105,668.58
gpt-oss,segment_to_segment_with_titles,Prompt 5,ihrda_2_fr_en.json,105,527.2
gpt-oss,segment_to_segment_with_titles,Prompt 5,ohchr_1_en_ru.json,109,1055.05
gpt-oss,segment_to_segment_with_titles,Prompt 5,ohchr_1_ru_en.json,110,865.5
gpt-oss,segment_to_segment_with_titles,Prompt 5,ohchr_2_en_fr.json,137,1066.46
gpt-oss,segment_to_segment_with_titles,Prompt 5,ohchr_2_fr_en.json,137,938.19
gpt-oss,segment_to_segment_with_titles,Prompt 5,plan_1_en_es.json,31,176.55
gpt-oss,segment_to_segment_with_titles,Prompt 5,plan_1_es_en.json,31,157.29
gpt-oss,segment_to_segment_with_titles,Prompt 5,plan_2_en_fr.json,55,378.55
gpt-oss,segment_to_segment_with_titles,Prompt 5,plan_2_fr_en.json,55,317.25
nllb-200-3.3B,segment_to_segment,(no prompt),cejil_1_es_pt.json,225,473.64
nllb-200-3.3B,segment_to_segment,(no prompt),cejil_1_pt_es.json,225,520.45
nllb-200-3.3B,segment_to_segment,(no prompt),cejil_2_es_pt.json,44,41.84
nllb-200-3.3B,segment_to_segment,(no prompt),cejil_2_pt_es.json,44,39.94
nllb-200-3.3B,segment_to_segment,(no prompt),ihrda_1_en_pt.json,139,107.92
nllb-200-3.3B,segment_to_segment,(no prompt),ihrda_1_pt_en.json,139,99.04
nllb-200-3.3B,segment_to_segment,(no prompt),ihrda_2_en_fr.json,105,85.27
nllb-200-3.3B,segment_to_segment,(no prompt),ihrda_2_fr_en.json,105,68.95
nllb-200-3.3B,segment_to_segment,(no prompt),ohchr_1_en_ru.json,109,155.44
nllb-200-3.3B,segment_to_segment,(no prompt),ohchr_1_ru_en.json,110,141.7
nllb-200-3.3B,segment_to_segment,(no prompt),ohchr_2_en_fr.json,137,251.76
nllb-200-3.3B,segment_to_segment,(no prompt),ohchr_2_fr_en.json,137,208.25
nllb-200-3.3B,segment_to_segment,(no prompt),plan_1_en_es.json,31,24.77
nllb-200-3.3B,segment_to_segment,(no prompt),plan_1_es_en.json,31,21.75
nllb-200-3.3B,segment_to_segment,(no prompt),plan_2_en_fr.json,55,65.98
nllb-200-3.3B,segment_to_segment,(no prompt),plan_2_fr_en.json,55,52.17
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,443.9
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,420.11
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,34.62
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,35.82
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,95.48
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,87.19
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,76.87
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,58.66
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ohchr_1_en_ru.json,109,250.8
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ohchr_1_ru_en.json,110,133.29
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ohchr_2_en_fr.json,137,251.39
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,ohchr_2_fr_en.json,137,166.8
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,plan_1_en_es.json,31,28.39
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,plan_1_es_en.json,31,21.76
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,plan_2_en_fr.json,55,61.38
huihui_ai/hunyuan-mt-abliterated:7b,segment_to_segment,Prompt 3,plan_2_fr_en.json,55,43.39
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,263.39
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,259.78
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,23.72
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,23.6
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,66.52
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,61.73
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,46.49
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,41.87
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ohchr_1_en_ru.json,109,90.08
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ohchr_1_ru_en.json,110,87.59
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ohchr_2_en_fr.json,137,127.55
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,ohchr_2_fr_en.json,137,107.62
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,plan_1_en_es.json,31,16.49
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,plan_1_es_en.json,31,16.28
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,plan_2_en_fr.json,55,34.37
zongwei/gemma3-translator:4b,segment_to_segment,Prompt 3,plan_2_fr_en.json,55,30.92
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,cejil_1_es_pt.json,225,789.47
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,cejil_1_pt_es.json,225,759.69
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,cejil_2_es_pt.json,44,58.7
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,cejil_2_pt_es.json,44,57.69
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ihrda_1_en_pt.json,139,156.38
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ihrda_1_pt_en.json,139,118.94
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ihrda_2_en_fr.json,105,98.59
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ihrda_2_fr_en.json,105,82.16
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ohchr_1_en_ru.json,109,243.64
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ohchr_1_ru_en.json,110,158.62
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ohchr_2_en_fr.json,137,346.25
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,ohchr_2_fr_en.json,137,214.1
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,plan_1_en_es.json,31,32.94
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,plan_1_es_en.json,31,23.12
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,plan_2_en_fr.json,55,80.63
bytedance-seed-x-ppo-7b-gptq-int8,segment_to_segment,ByteDanceSeedXPPOPrompt,plan_2_fr_en.json,55,55.3
